labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:xpxsa5aviwecd7cv6bzbmr5n,github-labeler.bsky.social,GitHub Contributor Labeler,third_party,experimental,True,True,True,True,False,4,1,3,491,7,2026-03-07T14:11:53.142564Z,2026-06-04T16:55:43.549493Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:fmug4zegnl7lf6ljp7aokpeh,moderation.medsky.network,Medsky Moderation,third_party,experimental,True,True,True,True,True,4,1,4,281,1,2026-03-29T07:26:08.262241Z,2026-03-29T07:26:08.262241Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:4zjbgpzz2xcwlvv7mpvvvnmj,labeler.indiemusi.ch,Music community labeler,third_party,experimental,True,True,True,True,True,4,0,4,7,2,2026-05-30T16:46:33.077383Z,2026-05-30T16:56:15.389981Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:d5wjm2v7krrf4kunmk7w24r2,labeller.pds.lewis-od.co.uk,Worm Labeller,third_party,experimental,True,True,True,True,False,4,4,3,1,9,2026-06-06T22:10:38.657082Z,2026-06-07T08:57:58.195917Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:hhnjqlqihop5b7zrl2sjspir,labtestcm.bsky.social,,third_party,experimental,True,True,True,True,False,3,3,3,1,9,2026-06-04T17:52:29.244443Z,2026-06-04T19:02:07.210058Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:lpxr5ow33berjxpe54eyptyq,cmtest2.bsky.social,,third_party,experimental,True,True,True,True,False,3,3,2,1,8,2026-06-04T22:21:16.840270Z,2026-06-05T16:18:27.196874Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:dsjk7d74slgc2xyrhehf2sxk,built.blue,The Built Labeler,third_party,experimental,True,True,True,True,True,2,0,2,13,5,2026-03-22T21:27:31.515472Z,2026-03-22T22:34:41.706988Z,2026-06-08T04:38:26.089506Z,ghost_declared,accessible,declared,high,False,False
did:plc:6vahyreowiemvhsrbfd5qvic,kpop.heartscraps.xyz,Kpop bias labeler,third_party,experimental,True,True,True,True,True,1,0,1,562,4,2026-04-14T14:59:44.332851Z,2026-04-14T15:23:02.182602Z,2026-06-08T04:38:26.089506Z,ghost_declared,unknown,declared,medium,False,False
did:plc:x5i64gpystahcvcizwl7p6ry,mpi-labeller.mpi-bluesky-pds.mpi-sws.org,,third_party,experimental,True,False,False,False,False,1,1,1,0,0,,,2026-06-08T04:38:26.089506Z,ghost_declared,accessible,declared,high,False,False
did:plc:yitjux5wnswziabxdhvkydll,labeler-prototype.bsky.social,,third_party,experimental,True,False,False,False,False,1,0,1,0,0,,,2026-06-08T04:38:26.089506Z,ghost_declared,accessible,declared,high,False,False
did:plc:wwjhjtgw5ksxrzdswtvnsnjs,alexstestlabeler.bsky.social,,third_party,experimental,True,False,False,False,False,1,0,1,0,0,,,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:okggkjy46yor2utxfys5vbny,infightinglabeler.bsky.social,Left-Wing Infighting Labeler,third_party,experimental,True,False,False,False,False,1,1,1,0,0,,,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:uac6er53o2pvr5y2qmvaf7hw,pef-moderation.org,Public Education Forum Moderation,third_party,abandoned,False,True,True,True,True,0,0,0,32,1,2026-03-21T13:15:42.566695Z,2026-03-21T13:15:42.566695Z,2026-06-08T04:38:26.089506Z,inactive,auth_required,declared,medium,False,False
did:plc:fcikraffwejtuqffifeykcml,label.wol.blue,FF14ヒカセンラベリング/FFXIV WoL Labeling,third_party,abandoned,False,True,True,True,True,0,0,0,119,1,2026-05-12T15:57:28.814619Z,2026-05-12T15:57:28.814619Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:4wdiawuqywf3zx4faayw4hv2,mushroom-labeler.bsky.social,🍄 Mushroom Labeler,third_party,abandoned,False,True,True,True,False,0,0,0,1,85,2026-04-04T08:18:10.128556Z,2026-05-12T21:58:36.954355Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:7s5echp3dzm2y5kxfe3mwzon,cons.fyi,cons.fyi,third_party,abandoned,False,True,True,True,False,0,0,0,108,1034,2026-03-05T23:22:31.134974Z,2026-06-08T22:29:14.377405Z,2026-06-08T22:30:12.191618Z,warming_up,unknown,declared,medium,False,False
did:plc:2qawvcwumvgxmed6iy6pmt6l,sonasky.app,SonaSky,third_party,abandoned,False,True,True,True,True,0,0,0,684,3,2026-04-11T03:07:44.498548Z,2026-04-11T03:18:30.800999Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:p2cxrw3ank4dzs55mpm6ohq4,moderation.northsky.social,Northsky Moderation,third_party,abandoned,False,True,True,True,True,0,0,0,31,2,2026-05-11T01:04:58.841089Z,2026-06-02T21:46:17.935167Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:i54lpx4fcztc55vsaiheypxo,pokemon.sonasky.app,SonaSky (Pokémon),third_party,abandoned,False,True,True,True,True,0,0,0,161,1,2026-04-11T03:18:30.544104Z,2026-04-11T03:18:30.544104Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:2dnldc4omasiothhuqbmosyx,harpersletter.fyi,Harper's Letter Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-04-27T19:07:07.910128Z,2026-04-27T19:07:07.910128Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:dfl62fgb7wtjj3fcbb72naae,ptr.pet,dawn ΛΔ,third_party,abandoned,False,True,True,True,True,0,0,0,3,1,2026-03-25T13:31:54.498920Z,2026-03-25T13:31:54.498920Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:b6irkivf4f6kr5zetwycnzxd,milk.meowing.zip,Milk Labeling Service,third_party,abandoned,False,True,True,True,True,0,0,0,14,2,2026-03-13T05:11:24.030276Z,2026-03-14T00:12:52.885617Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:et54engghtqyu3myyjzzssak,stemlabels.xyz,STEM Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,461,1,2026-04-08T15:45:15.550711Z,2026-04-08T15:45:15.550711Z,2026-06-08T04:38:26.089506Z,inactive,accessible,declared,high,False,False
did:plc:gpslhsq6j2g7zyybpaihkib6,vocalabeller.kanshen.click,vocalabeller! by ray deguchi,third_party,abandoned,False,True,True,True,False,0,0,0,1,106000,2026-03-05T22:22:29.556081Z,2026-06-08T23:31:35.466077Z,2026-06-08T23:31:35.466077Z,warming_up,unknown,declared,medium,False,False
did:plc:nwrcwcrhpkgrqqvkg3lmaqky,lebel.ebil.club,lebel,third_party,abandoned,False,True,True,True,True,0,0,0,3,1,2026-03-29T16:30:54.939862Z,2026-03-29T16:30:54.939862Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:saslbwamakedc4h6c5bmshvz,labeler.hailey.at,Hailey's Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,22,1,2026-04-13T22:20:31.838830Z,2026-04-13T22:20:31.838830Z,2026-06-08T04:38:26.089506Z,inactive,down,declared,medium,False,False
did:plc:ck57xb7qty7kolim6avksmpr,283labeler.mp0.jp,283ラベラー,third_party,abandoned,False,True,True,True,True,0,0,0,44,1,2026-03-29T12:19:05.207700Z,2026-03-29T12:19:05.207700Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:xelfroz65ivei2p2um222kew,gkmas-labeler.endless.dance,学園アイドルマスター ラベラー,third_party,abandoned,False,True,True,True,True,0,0,0,25,2,2026-03-23T10:40:07.855528Z,2026-05-08T11:13:52.672537Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
